city,city_ascii,state_id,,,county_name,lat,lng,population
Torrance,Torrance,CA,,,Los Angeles,33.8346,-118.3416,143499
Thornton,Thornton,CO,,,Adams,39.9197,-104.9438,142878
Las Cruces,Las Cruces,NM,,,Doña Ana,32.3265,-106.7893,142432
Columbia,Columbia,MO,,,Boone,38.9472,-92.3268,141811
Fullerton,Fullerton,CA,,,Orange,33.8841,-117.9279,141278
Grand Junction,Grand Junction,CO,,,Mesa,39.0877,-108.5673,141008
Carolina,Carolina,PR,,,Carolina,18.4054,-65.9792,139051
Metairie,Metairie,LA,,,Jefferson,29.9977,-90.178,138995
Orange,Orange,CA,,,Orange,33.8038,-117.8218,138723
Warren,Warren,MI,,,Macomb,42.4934,-83.027,138128
West Valley City,West Valley City,UT,,,Salt Lake,40.6886,-112.0123,137955
Hampton,Hampton,VA,,,Hampton,37.0551,-76.363,137334
Pasadena,Pasadena,CA,,,Los Angeles,34.1597,-118.139,136462
Miramar,Miramar,FL,,,Broward,25.9773,-80.3351,135986
Elizabeth,Elizabeth,NJ,,,Union,40.6658,-74.1913,135887
Stamford,Stamford,CT,,,Western Connecticut,41.1039,-73.5585,135806
Racine,Racine,WI,,,Racine,42.7274,-87.8135,135512
Kent,Kent,WA,,,King,47.3887,-122.2128,135015
Yakima,Yakima,WA,,,Yakima,46.5923,-120.5496,134003
Coral Springs,Coral Springs,FL,,,Broward,26.2702,-80.2591,133962
Sterling Heights,Sterling Heights,MI,,,Macomb,42.5809,-83.0305,133473
Billings,Billings,MT,,,Yellowstone,45.7891,-108.5526,133173
Bloomington,Bloomington,IL,,,McLean,40.4757,-88.9703,133107
Charleston,Charleston,WV,,,Kanawha,38.3484,-81.6322,133045
Carrollton,Carrollton,TX,,,Dallas,32.989,-96.8999,132741
Tyler,Tyler,TX,,,Smith,32.3184,-95.3062,131037
Iowa City,Iowa City,IA,,,Johnson,41.6559,-91.5303,129897
Johnson City,Johnson City,TN,,,Washington,36.3406,-82.3806,129818
Santa Clara,Santa Clara,CA,,,Santa Clara,37.3646,-121.968,129239
Bellingham,Bellingham,WA,,,Whatcom,48.7548,-122.469,128737
Norman,Norman,OK,,,Cleveland,35.2335,-97.3471,128714
Coeur d'Alene,Coeur d'Alene,ID,,,Kootenai,47.704,-116.7936,128680
Fort Smith,Fort Smith,AR,,,Sebastian,35.3495,-94.3695,128384
Lewisville,Lewisville,TX,,,Denton,33.0454,-96.9815,128313
Dover,Dover,DE,,,Kent,39.161,-75.5202,128045
Yuba City,Yuba City,CA,,,Sutter,39.1357,-121.6383,127854
Lehigh Acres,Lehigh Acres,FL,,,Lee,26.612,-81.6388,127391
Abilene,Abilene,TX,,,Taylor,32.4543,-99.7384,127130
Simi Valley,Simi Valley,CA,,,Ventura,34.2663,-118.749,126503
Pearland,Pearland,TX,,,Brazoria,29.5581,-95.3218,125983
Kenosha,Kenosha,WI,,,Kenosha,42.5865,-87.8773,125807
Arecibo,Arecibo,PR,,,Arecibo,18.4491,-66.7387,125548
Meridian,Meridian,ID,,,Ada,43.6116,-116.3977,124865
Round Rock,Round Rock,TX,,,Williamson,30.527,-97.6642,124288
Waldorf,Waldorf,MD,,,Charles,38.6085,-76.9194,124186
Temple,Temple,TX,,,Bell,31.1068,-97.3891,123932
Lynchburg,Lynchburg,VA,,,Lynchburg,37.4003,-79.1909,123662
Rochester,Rochester,MN,,,Olmsted,44.0154,-92.478,123252
Logan,Logan,UT,,,Cache,41.7399,-111.8422,122915
Arvada,Arvada,CO,,,Jefferson,39.832,-105.151,122835
Clovis,Clovis,CA,,,Fresno,36.8278,-119.683,122719
Independence,Independence,MO,,,Jackson,39.0871,-94.3501,121944
Redding,Redding,CA,,,Shasta,40.5698,-122.365,120849
Greenville,Greenville,NC,,,Pitt,35.5943,-77.376,120595
Duluth,Duluth,MN,,,St. Louis,46.7756,-92.1393,120443
Berkeley,Berkeley,CA,,,Alameda,37.8722,-122.276,120223
Boulder,Boulder,CO,,,Boulder,40.0248,-105.2524,120121
Pueblo,Pueblo,CO,,,Pueblo,38.2701,-104.6114,120020
West Palm Beach,West Palm Beach,FL,,,Palm Beach,26.7469,-80.132,119508
Burlington,Burlington,VT,,,Chittenden,44.4876,-73.2316,118409
Seaside,Seaside,CA,,,Monterey,36.6224,-121.8199,118398
Richardson,Richardson,TX,,,Dallas,32.9716,-96.7093,118269
Cambridge,Cambridge,MA,,,Middlesex,42.3759,-71.1185,117794
Monroe,Monroe,LA,,,Ouachita,32.5185,-92.0774,117507
North Charleston,North Charleston,SC,,,Charleston,32.9067,-80.0722,117460
Saginaw,Saginaw,MI,,,Saginaw,43.4199,-83.9501,117412
Clearwater,Clearwater,FL,,,Pinellas,27.979,-82.7623,117075
The Woodlands,The Woodlands,TX,,,Montgomery,30.1738,-95.5134,116916
Brandon,Brandon,FL,,,Hillsborough,27.9367,-82.3,116365
St. Cloud,St. Cloud,MN,,,Stearns,45.534,-94.1718,116347
