city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Petersville,Petersville,AK,Alaska,2170,Matanuska-Susitna,62.4226,-150.8444,42,0,shape,FALSE,FALSE,America/Anchorage,3,99683,1840023372
Tonsina,Tonsina,AK,Alaska,2066,Copper River,61.5617,-145.0656,41,0,shape,FALSE,FALSE,America/Anchorage,3,99573,1840023401
Newtok,Newtok,AK,Alaska,2050,Bethel,60.9341,-164.6386,40,11.6,shape,FALSE,FALSE,America/Nome,3,99559,1840023338
Atmautluak,Atmautluak,AK,Alaska,2050,Bethel,60.8622,-162.2858,38,24.3,shape,FALSE,FALSE,America/Nome,3,99559,1840023340
Shageluk,Shageluk,AK,Alaska,2290,Yukon-Koyukuk,62.6684,-159.563,36,1.4,shape,FALSE,TRUE,America/Anchorage,3,99665,1840023459
Ekwok,Ekwok,AK,Alaska,2070,Dillingham,59.3462,-157.4861,35,10.9,shape,FALSE,TRUE,America/Anchorage,3,99580,1840023280
Ferry,Ferry,AK,Alaska,2068,Denali,64.0496,-148.9205,33,0,shape,FALSE,FALSE,America/Anchorage,3,99743,1840023692
Hughes,Hughes,AK,Alaska,2290,Yukon-Koyukuk,66.0452,-154.2376,32,4.1,shape,FALSE,TRUE,America/Anchorage,3,99745,1840023450
Healy Lake,Healy Lake,AK,Alaska,2240,Southeast Fairbanks,64.0281,-144.6331,31,0,shape,FALSE,FALSE,America/Anchorage,3,99706,1840023693
Chignik Lagoon,Chignik Lagoon,AK,Alaska,2164,Lake and Peninsula,56.3041,-158.5004,31,1.2,shape,FALSE,FALSE,America/Anchorage,3,99565,1840023288
Chignik Lake,Chignik Lake,AK,Alaska,2164,Lake and Peninsula,56.2631,-158.8049,31,0,shape,FALSE,FALSE,America/Anchorage,3,99548,1840023691
Susitna,Susitna,AK,Alaska,2170,Matanuska-Susitna,61.4935,-150.595,30,0,shape,FALSE,FALSE,America/Anchorage,3,99667 99688,1840023374
Hope,Hope,AK,Alaska,2122,Kenai Peninsula,60.8924,-149.6352,28,1.1,shape,FALSE,FALSE,America/Anchorage,3,99605,1840023405
Chignik,Chignik,AK,Alaska,2164,Lake and Peninsula,56.3003,-158.4132,28,0.5,shape,FALSE,TRUE,America/Anchorage,3,99564,1840023293
Port Alexander,Port Alexander,AK,Alaska,2198,Prince of Wales-Hyder,56.2346,-134.6532,26,2.9,shape,FALSE,TRUE,America/Sitka,3,99836,1840023638
